Data 0
2 2 27006.400
4 2 27006.400
4 4 27001.400
8 2 27006.400
8 4 27001.400
8 8 26987.400
16 2 27006.400
16 4 27001.400
16 8 26987.400
16 16 26958.400
32 2 27006.400
32 4 27001.400
32 8 26987.400
32 16 26958.400
32 32 26894.400
64 2 27006.400
64 4 27001.400
64 8 26987.400
64 16 26958.400
64 32 26894.400
64 64 26774.400
128 2 27006.400
128 4 27001.400
128 8 26987.400
128 16 26958.400
128 32 26894.400
128 64 26774.400
128 128 26549.400
256 2 27006.400
256 4 27001.400
256 8 26987.400
256 16 26958.400
256 32 26894.400
256 64 26774.400
256 128 26549.400
256 256 26257.400
Data 1
2 2 1260.241
4 2 1260.241
4 4 1260.241
8 2 1260.241
8 4 1260.241
8 8 1260.129
16 2 1260.241
16 4 1260.241
16 8 1260.129
16 16 1260.129
32 2 1260.241
32 4 1260.241
32 8 1260.129
32 16 1260.129
32 32 1259.949
64 2 1260.241
64 4 1260.241
64 8 1260.129
64 16 1260.129
64 32 1259.949
64 64 1259.656
128 2 1260.241
128 4 1260.241
128 8 1260.129
128 16 1260.129
128 32 1259.949
128 64 1259.656
128 128 1258.118
256 2 1260.241
256 4 1260.241
256 8 1260.129
256 16 1260.129
256 32 1259.949
256 64 1259.656
256 128 1258.118
256 256 1257.833
Data 2
2 2 1497.225
4 2 1497.225
4 4 1497.038
8 2 1497.225
8 4 1497.038
8 8 1496.758
16 2 1497.225
16 4 1497.038
16 8 1496.758
16 16 1496.197
32 2 1497.225
32 4 1497.038
32 8 1496.758
32 16 1496.197
32 32 1495.543
64 2 1497.225
64 4 1497.038
64 8 1496.758
64 16 1496.197
64 32 1495.543
64 64 1494.982
128 2 1497.225
128 4 1497.038
128 8 1496.758
128 16 1496.197
128 32 1495.543
128 64 1494.982
128 128 1494.982
256 2 1497.225
256 4 1497.038
256 8 1496.758
256 16 1496.197
256 32 1495.543
256 64 1494.982
256 128 1494.982
256 256 1494.982
