(base, number fo reads from base)
(27275, 62)
(27275, 62)
(27275, 62)
(16796, 10002)
(16796, 10002)
(16796, 10002)
(4604, 90)
(4604, 90)
(3985, 156)
(3985, 156)
(16796, 10002)
(20689, 122)
(20689, 122)
(15244, 94)
(15244, 94)
(3985, 156)
(22482, 240)
(22482, 240)
(636, 139)
(636, 139)
(21674, 28022)
(21674, 28022)
(4604, 90)
(13799, 10893)
(13799, 10893)
(29583, 30801)
(29583, 30801)
(23951, 30013)
(23951, 30013)
(27361, 188)
(27361, 188)
(27361, 188)
(10711, 4721)
(10711, 4721)
(3985, 156)
(5009, 28414)
(5009, 28414)
(27275, 62)
(20787, 76)
(20787, 76)
(16796, 10002)
(4545, 113)
(4545, 113)
(16796, 10002)
(11359, 26659)
(11359, 26659)
(15244, 94)
(7169, 9229)
(7169, 9229)
(14740, 47)
(14740, 47)
(16154, 16300)
(16154, 16300)
(24602, 185)
(24602, 185)
(5839, 99)
(5839, 99)
(3847, 6311)
(3847, 6311)
(11952, 30229)
(11952, 30229)
(4545, 113)
(22190, 9375)
(22190, 9375)
(20787, 76)
(12787, 830)
(12787, 830)
(17614, 9860)
(17614, 9860)
(8866, 3249)
(8866, 3249)
(12993, 9841)
(12993, 9841)
(15244, 94)
